id,name,rate,people_quantity,prep_time_in_minutes,cook_time_in_minutes,total_time_in_minutes,image,number_of_comments,author_id,difficulty_id,budget_id
1,6 ingrédients que l’on peut ajouter sur une crêpe au nutella®,5.0,6,15,10,25,https://assets.afcdn.com/recipe/20171006/72810_w420h344c1cx2544cy1696cxt0cyt0cxb5088cyb3392.jpg,1,1,1,1
2,Agneau à l'abricot (recette turque),3.0,6,120,60,180,,1,2,2,2
3,Agneau à l'oriental,4.6,6,15,60,75,,10,3,1,1
4,Agneau à la grec (aubergine & feta),5.0,4,45,60,105,,6,4,3,1
5,Agneau à la mangue et aux amandes,5.0,4,30,60,90,,2,5,1,2
6,Agneau à la sarriette et aux fèves fraîches,,6,60,60,120,,0,6,2,2
7,"Agneau au céleri, à la coriandre et aux olives",,6,35,60,95,,0,7,3,2
8,Agneau aux amandes et raisins secs,4.7,6,20,60,80,https://assets.afcdn.com/recipe/20130405/47393_w420h344c1cx256cy192.jpg,6,8,1,2
9,Agneau aux artichauts et à la tomate,4.8,4,30,45,75,,4,9,3,2
10,Agneau aux carottes en cocotte,4.8,4,20,40,60,,5,10,3,2
11,Agneau aux échalotes et champignons,,6,30,120,150,,0,11,3,2
12,Agneau aux poires et aux pistaches,5.0,6,15,45,60,,1,12,3,2
13,Agneau aux poivrons et olives en cocotte,5.0,6,40,60,100,,1,13,3,2
14,Agneau aux poivrons et sa sauce rose au paprika,,4,25,60,85,,0,14,3,2
15,Agneau aux pruneaux et aux amandes,4.0,4,20,55,75,,1,15,3,2
16,Agneau aux pruneaux et figues fraîches ( l'ham lahlou de ma maman),,8,15,90,105,,0,16,2,2
17,Agneau aux vermicelles,,6,30,120,150,,0,17,2,2
18,Agneau confit aux pommes de terres nouvelles,4.9,6,15,180,195,https://assets.afcdn.com/recipe/20150901/17089_w420h344c1cx1500cy2250.jpg,25,18,3,2
19,Agneau épicé aux épinards,4.8,4,30,60,90,,4,19,3,2
20,Agneau épicé aux pruneaux,4.3,4,25,60,85,,3,20,3,2
21,Agneau et ses pommes de terre à la portugaise,5.0,4,15,55,70,,1,21,3,1
22,Agneau mariné aux épices,4.0,4,15,10,25,,4,22,1,2
23,Agneau sauté aux épices,4.6,4,25,15,40,,5,20,1,1
24,Aigre-doux de porc aux fruits secs de cat,4.8,4,20,60,80,,6,23,3,1
