recipe_id,ingredient_id
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,30
3,31
3,20
3,21
4,32
4,33
4,34
4,35
4,36
4,37
4,38
4,39
4,40
4,41
4,42
5,43
5,36
5,44
5,45
5,46
5,47
5,48
5,49
5,50
5,51
5,20
5,21
6,52
6,53
6,54
6,46
6,55
6,20
6,21
7,56
7,57
7,23
7,58
7,47
7,59
7,60
7,61
7,62
7,63
7,20
7,21
8,64
8,23
8,65
8,66
8,67
8,68
8,69
8,20
8,21
9,70
9,71
9,72
9,73
9,74
9,75
9,76
9,77
9,78
9,79
9,20
9,21
10,80
10,81
10,36
10,82
10,83
10,84
10,85
10,86
10,87
10,20
10,21
11,88
11,89
11,90
11,91
11,92
11,93
11,94
11,95
11,96
11,97
11,20
11,21
12,98
12,58
12,99
12,100
12,59
12,101
12,20
12,21
12,102
13,103
13,104
13,105
13,106
13,107
13,108
13,109
13,36
13,37
13,110
13,111
13,112
13,20
13,21
14,113
14,114
14,23
14,115
14,116
14,57
14,117
14,118
14,20
14,21
15,119
15,21
15,120
15,121
15,122
15,123
15,124
15,125
16,126
16,127
16,128
16,129
16,130
16,131
16,132
16,133
16,134
16,135
17,136
17,137
17,138
17,139
17,140
17,141
17,142
17,138
17,143
17,144
17,145
17,146
18,147
18,148
18,87
18,23
18,149
18,150
18,151
18,152
18,153
18,154
18,155
18,156
19,157
19,158
19,159
19,160
19,161
19,162
19,163
19,164
19,165
19,166
19,167
19,168
19,169
19,170
20,171
20,172
20,173
20,89
20,174
20,175
20,176
20,177
20,178
20,179
20,180
20,181
20,79
20,20
20,21
21,182
21,183
21,36
21,74
21,184
21,185
21,41
21,21
21,20
21,186
21,187
22,188
22,189
22,177
22,190
22,191
22,192
22,38
23,193
23,23
23,37
23,194
23,195
23,196
23,197
23,198
23,199
23,200
23,201
23,202
23,20
23,21
24,203
24,204
24,205
24,206
24,207
24,208
24,209
24,87
24,55
24,112
24,210
24,20
24,21
25,211
25,36
25,212
25,213
25,214
25,215
25,216
25,217
25,209
25,218
25,102
25,39
25,38
26,219
26,220
26,221
26,222
26,175
26,223
26,224
27,225
27,226
27,106
27,212
27,227
28,214
28,228
28,74
28,229
28,209
28,77
29,230
29,231
29,232
29,233
29,234
29,235
29,236
29,237
29,21
29,238
29,78
30,239
30,240
30,241
30,242
30,243
30,20
30,21
30,244
31,245
31,246
31,209
31,247
31,248
31,76
32,249
32,250
32,251
32,87
32,252
32,253
32,254
32,255
32,20
32,21
33,256
33,257
33,258
33,251
33,209
33,97
33,259
33,260
34,256
34,261
34,212
34,209
35,262
35,44
35,263
35,21
35,20
35,264
36,265
36,58
36,266
36,267
36,268
36,269
36,20
37,270
37,271
37,272
37,20
37,21
37,273
38,274
38,275
38,276
38,74
38,277
39,278
39,279
39,280
39,281
39,282
39,283
39,284
39,285
39,286
39,287
39,288
39,21
39,20
40,289
40,290
40,291
40,292
40,46
40,20
40,21
41,293
41,294
41,295
41,296
41,297
41,298
41,209
41,38
41,39
41,46
42,299
42,300
42,37
42,301
42,46
42,302
42,303
42,304
42,305
43,306
43,307
43,20
43,21
43,173
43,308
44,309
44,310
44,311
44,86
44,312
44,313
44,20
44,21
45,314
45,315
45,316
45,317
45,318
46,319
46,320
46,321
46,74
46,322
47,323
47,87
47,36
47,74
47,324
47,325
47,326
47,327
47,328
47,21
47,329
47,330
48,331
48,332
48,28
48,333
49,334
49,335
49,336
49,337
49,95
49,338
49,186
49,20
49,21
49,339
50,340
50,341
50,342
50,343
50,304
50,344
50,345
50,37
50,346
50,347
51,348
51,349
51,345
51,350
51,351
51,352
51,353
51,354
52,355
52,356
52,357
52,358
52,359
52,360
52,361
52,362
52,363
52,364
52,365
53,306
53,366
53,367
53,368
53,369
53,370
53,371
53,290
53,181
53,78
53,79
53,58
53,372
53,46
53,20
53,21
54,373
54,374
54,375
54,376
54,377
54,378
54,379
54,380
54,381
54,21
55,382
55,383
55,55
55,384
55,290
55,20
55,21
56,385
56,386
56,387
56,388
56,389
56,20
56,21
57,390
57,312
57,391
57,392
57,105
57,106
57,393
57,20
57,21
58,394
58,395
58,89
58,396
58,55
58,397
58,20
58,398
59,399
59,400
59,401
59,402
59,403
59,404
59,405
59,406
59,282
59,407
59,46
59,408
59,409
59,21
59,20
59,410
60,411
60,412
60,413
60,414
60,415
60,33
60,416
60,417
60,78
60,418
60,79
60,29
60,20
60,21
61,419
61,420
61,55
61,307
61,74
61,20
61,21
62,421
62,422
62,423
62,424
62,74
62,173
62,226
62,425
62,426
62,427
62,428
62,429
62,20
62,21
63,430
63,431
63,368
63,226
63,432
63,433
63,434
63,55
63,290
63,435
63,20
63,21
64,436
64,437
64,438
64,439
64,440
64,441
64,442
64,443
64,78
64,20
64,21
65,444
65,445
65,446
65,447
65,226
65,303
65,46
65,259
65,381
66,448
66,449
66,450
66,451
66,452
67,453
67,454
67,443
67,418
67,46
68,455
68,456
68,241
68,457
68,21
68,20
68,46
68,458
68,459
69,460
69,461
69,36
69,181
69,462
69,463
69,464
69,359
69,21
69,418
70,465
70,466
70,467
70,468
70,20
70,21
70,74
71,469
71,470
71,471
71,472
72,473
72,474
72,475
72,20
72,21
72,77
73,476
73,477
73,478
73,424
73,20
73,21
74,476
74,479
74,480
74,20
74,21
74,481
74,482
75,476
75,483
75,484
76,485
76,486
76,487
76,488
76,489
76,490
76,20
76,21
77,491
77,492
77,236
77,493
77,494
78,495
78,485
78,173
78,226
78,58
78,496
78,440
78,497
78,498
79,499
79,500
79,501
79,20
79,21
79,46
79,478
80,502
80,503
80,484
80,504
80,505
80,506
80,507
80,508
80,509
80,20
80,21
81,510
81,173
81,74
81,511
81,512
81,513
81,20
81,21
81,514
82,515
82,516
82,517
82,518
82,519
82,520
82,38
82,521
82,50
82,522
83,523
83,524
83,489
83,20
83,21
84,525
84,526
84,527
84,528
84,529
84,530
84,112
84,20
84,21
84,531
84,532
84,179
84,106
84,533
85,13
85,534
85,57
85,535
85,536
85,537
85,538
85,20
85,21
86,539
86,540
86,541
86,542
86,543
86,544
86,545
86,546
86,547
86,548
86,549
86,372
86,76
86,21
87,550
87,402
87,551
87,552
87,46
87,77
87,21
88,553
88,554
88,555
88,173
88,556
88,20
88,21
89,557
89,558
89,559
89,560
89,20
89,21
90,561
90,484
90,562
90,89
90,37
90,563
90,564
90,440
90,565
90,566
90,21
90,20
90,112
91,567
91,36
91,37
91,568
91,569
91,570
91,20
91,21
91,211
91,102
92,553
92,571
92,572
92,573
92,574
92,424
92,575
92,86
92,576
92,577
93,553
93,578
93,579
93,173
93,580
93,581
93,582
94,583
94,46
94,584
94,173
94,109
94,208
94,20
94,21
94,585
95,553
95,37
95,195
95,20
95,21
95,335
95,462
95,208
95,586
96,587
96,226
96,588
96,589
96,106
96,590
96,591
96,20
96,21
97,592
97,593
97,594
98,595
98,596
98,597
98,288
98,598
98,76
98,599
98,21
98,20
99,600
99,74
99,601
99,41
99,602
99,603
99,257
99,20
99,604
100,605
100,606
100,607
100,608
100,609
100,20
100,21
100,610
101,611
101,612
101,290
101,613
101,20
102,614
102,615
102,37
102,616
102,617
102,618
102,46
102,21
102,20
102,619
103,508
103,620
103,621
103,441
103,622
103,410
103,20
103,21
103,76
104,32
104,623
104,624
104,20
104,21
104,619
105,625
105,626
105,222
105,221
105,627
105,58
105,628
105,629
105,630
105,631
105,21
105,20
106,632
106,633
106,634
107,632
107,635
107,37
107,636
107,637
107,46
107,303
107,20
107,21
108,632
108,638
108,205
108,639
108,46
108,20
108,21
108,640
109,641
109,642
109,643
109,644
109,21
109,640
109,46
109,645
109,646
110,647
110,527
110,648
110,173
110,37
110,649
110,20
110,21
110,46
111,632
111,650
111,651
111,652
111,653
111,654
112,632
112,655
112,656
112,657
112,658
112,659
112,660
112,303
112,20
112,21
113,661
113,662
113,619
113,663
113,173
113,664
113,20
113,21
113,37
113,236
113,46
114,625
114,665
114,666
114,667
114,37
114,20
114,21
115,668
115,669
115,670
115,671
115,672
115,167
115,673
115,674
115,675
116,632
116,669
116,670
116,676
116,677
116,40
116,167
116,673
116,674
116,678
116,675
116,671
117,632
117,679
117,508
117,680
117,681
117,682
117,20
117,21
117,640
118,683
118,684
118,685
118,686
118,106
118,21
118,687
119,661
119,688
119,689
119,690
119,691
119,46
119,443
119,435
120,692
120,693
120,173
120,694
120,695
120,696
120,508
120,697
120,698
120,253
120,20
120,21
120,699
120,700
120,106
121,632
121,701
121,702
121,37
121,109
121,703
121,704
121,705
122,32
122,706
122,139
122,58
122,707
122,708
122,709
122,46
122,20
122,21
122,710
123,632
123,711
123,425
123,712
123,713
123,35
123,508
123,46
123,20
123,21
124,632
124,714
124,682
124,715
124,679
125,32
125,716
125,297
125,511
125,717
125,718
125,20
125,21
125,29
126,632
126,719
126,720
126,303
126,721
126,173
126,74
126,722
126,508
126,723
126,21
126,20
126,724
127,632
127,725
127,726
127,727
127,173
127,109
127,728
127,729
127,730
127,731
127,732
127,175
127,20
127,21
128,661
128,733
128,23
128,734
128,179
128,735
128,736
128,503
128,20
128,21
129,632
129,36
129,669
129,508
129,737
129,738
129,739
130,632
130,36
130,740
130,680
130,20
130,21
130,640
131,741
131,669
131,139
131,418
131,37
131,508
131,728
131,742
131,743
131,20
131,21
131,744
132,745
132,746
132,747
132,748
132,749
132,77
132,511
132,20
132,21
133,625
133,750
133,751
133,752
133,20
133,21
134,32
134,753
134,37
134,175
134,754
134,20
135,625
135,329
135,755
135,756
135,757
135,87
135,173
135,95
135,74
135,20
135,21
135,758
135,759
136,32
136,760
136,761
136,762
136,763
136,59
136,764
136,765
136,20
136,21
137,632
137,766
137,767
137,521
137,106
137,640
137,292
137,768
137,20
137,21
137,769
138,770
138,89
138,771
138,175
138,581
138,772
138,368
138,773
139,774
139,775
139,669
139,776
139,777
139,226
139,778
139,768
139,20
139,21
139,779
139,780
139,781
140,782
140,783
140,774
140,784
140,785
140,786
140,20
140,21
141,787
141,661
141,788
141,789
141,716
141,790
141,511
141,791
141,664
141,20
141,21
141,46
142,792
142,793
142,313
142,2
142,794
142,795
142,97
142,796
142,797
143,798
143,799
143,800
143,801
143,802
143,803
143,804
143,805
144,806
144,807
144,808
144,766
144,809
144,810
144,443
144,46
144,20
144,21
145,368
145,811
145,812
145,813
145,814
145,261
145,815
145,452
145,813
145,97
145,816
145,234
146,817
146,818
146,819
146,483
146,820
146,20
146,21
146,821
146,822
147,823
147,824
147,20
147,21
147,292
147,74
147,825
147,826
147,827
147,828
147,829
147,830
148,831
148,72
148,759
148,832
148,46
148,20
148,21
148,833
149,834
149,835
149,564
149,836
149,837
149,86
149,381
149,838
150,839
150,313
150,840
150,689
150,841
150,418
151,842
151,843
151,154
151,844
151,845
151,846
151,847
151,36
151,82
151,848
151,849
151,850
151,851
151,852
151,853
151,46
151,854
151,20
151,21
152,506
152,55
152,855
152,856
152,857
152,858
152,859
152,860
152,861
153,862
153,863
153,36
153,864
153,865
153,866
153,867
153,418
153,46
154,868
154,869
154,870
154,175
154,36
154,37
154,418
154,871
155,872
155,873
155,874
155,875
155,876
155,877
155,878
155,464
155,79
155,879
155,20
156,880
156,57
156,881
156,59
156,700
156,882
156,20
156,21
157,847
157,883
157,884
157,885
157,886
157,887
158,888
158,889
158,890
158,891
158,20
159,892
159,893
159,173
159,894
159,895
159,336
159,896
160,897
160,898
160,899
160,900
161,901
161,902
161,903
161,38
162,904
162,173
162,37
162,905
162,906
162,907
162,908
162,909
162,910
162,911
162,912
162,20
163,913
163,914
163,915
163,916
163,77
164,917
164,918
164,919
164,920
164,921
164,922
164,923
164,20
164,21
164,924
165,917
165,925
165,733
165,926
165,776
165,927
165,57
165,676
165,20
165,21
166,928
166,929
166,930
166,173
166,247
166,106
166,21
166,20
167,931
167,424
167,932
167,933
167,496
167,36
167,934
167,112
167,20
167,21
167,935
167,936
168,931
168,937
168,938
168,939
168,940
168,941
168,768
168,942
168,943
169,944
169,63
169,106
169,945
169,946
169,947
169,948
170,949
170,950
170,951
170,952
170,173
170,953
170,954
170,78
170,20
170,21
171,955
171,956
171,957
171,268
171,958
171,959
171,960
171,961
171,21
172,962
172,963
172,964
173,965
173,191
173,966
173,109
173,967
173,508
173,968
173,657
173,969
173,970
173,971
173,972
173,973
173,200
173,974
173,47
174,975
174,546
174,976
174,581
174,977
174,978
174,313
175,979
175,980
175,981
175,982
175,983
175,237
176,984
176,57
176,712
176,74
176,985
176,86
176,435
176,20
176,21
177,986
177,987
177,988
177,989
177,990
177,20
177,21
177,46
178,991
178,139
178,549
178,992
178,86
178,993
178,577
178,18
178,20
178,21
179,994
179,18
179,20
179,21
179,995
179,97
179,115
179,996
179,997
179,20
179,21
179,941
179,998
180,999
180,1000
180,1001
180,1002
180,773
180,37
180,1003
180,1004
180,59
180,20
180,21
181,1005
181,941
181,195
