id,name
1,Crêpe
2,Crêpes sucrées
3,Végétarien
4,Dessert
5,Plat principal
6,Sans gluten
7,Viande
8,Viande rôtie
9,Canard à l'orange
10,Rapide
11,Abats
12,Foie
13,Viande en sauce
14,Poulet en sauce
15,Plat unique
16,Plats indiens
17,Cuisses de volaille
18,A la vapeur
19,Fondue à la viande
20,Aioli
21,Pommes de terre
22,Aligot
23,Purée
24,Andouilette
25,Recettes pour deux
26,"Calamar, poulpe"
27,Fruits de mer
28,Autres pâtes
29,"Pâtes, riz, semoule"
30,Plat de riz
31,Plats au fromage
32,Tartiflette
33,Cuisine rapide
34,Plat végétarien
35,Aubergine
36,Plat végétarien vegetarian
37,Purée de pommes de terre
38,Exploration
39,Saucisses
40,Légumes farcis
41,Paradis d'Italie
42,Gastronome économe
43,Ratatouille
44,"Feuilleté, brick"
45,Aumônière
46,Recette de poisson
47,Boulettes de viande
48,Baba au rhum
49,Recettes portugaises
50,Pâques
51,Bagel
52,Sandwich
53,Pique nique
54,Autres confiseries
55,Blanc de poulet
56,Poisson
57,Poisson en papillote
58,Crevettes
59,Risotto
60,Jardinière ou poêlée de légumes
61,Pièce de boeuf
62,Oeufs cuits
63,Entrée chaude
64,Beignet et friture
65,Beignets sucrés
66,Petits gâteaux
67,Autres biscuits et petits gâteaux
68,Gâteau
69,Biscuits de Noël
70,Volaille de noël
71,Second service
72,Sauté de volaille
73,Je débute
74,Plats chinois
75,Escalopes
76,Curry de poulet
77,Blanquette
78,Plein la vue !
79,Poisson en sauce
80,Moules
81,Marrons
82,Mardi gras
83,Huîtres
84,Plats indonésiens
85,Halloween
86,Recettes grecques
87,"Daube, bourguignon"
88,Plats mijotés
89,Fête des Mères
90,Cuisine chinoise
91,Plats coréens
92,Spaghetti
93,Poulet mariné
94,Tourte au poulet
95,Mini tourte
96,Chocolats
97,Quenelles
98,Boudin
99,Tous à poêle !
100,Bouillabaisse
101,Soupe de poisson
102,Soupe
103,Raviolis
104,Bouchées et raviolis
105,Ravioles
106,Kefta
107,Raclette
108,Recettes du Ramadan
109,Automne
110,Merveilles de l'Oasis
111,Cuisine russe
112,Gibier
113,œuf poché
114,œufs
115,Poisson au four
116,Brick
117,Entrée
118,Confiserie
119,Autres brioches
120,Brioche
121,Saint-jacques
122,Saint Valentin / Coup de foudre
123,Filet mignon
124,Magret de canard
125,Plancha !
126,Plats thaï
127,Plats japonais
128,Délices des Iles
129,On se fait un bon barbecue ?
130,Gâteau au chocolat
131,Brownie
132,Tarte salée
133,Bruschetta
134,Amuse-gueule
135,Pâtes en sauce
136,Bûche de Noël
137,Autres bûches
138,Bûche au chocolat
139,Raffinements d'Asie
140,Plats vietnamiens
141,Galette de légumes
142,"Galette de sarrasin, crêpe salée"
143,Hamburger végétarien
144,Plats mexicains
145,Tripes
146,Viande à l'indienne
147,Gratin de légumes
148,Poisson pané
149,Café
150,Boisson
151,Boissons chaudes
152,Cailles
153,Déjeuner au bureau
154,Noël / Rois mages
155,Noël / Peau d'Ane
156,100% chocolat
157,Recette cake
158,Cake salé apéritif
159,Recettes bretonnes
160,Apéritif dînatoire
161,Apéritif dînatoire vegetarien
162,Apéritif dînatoire sans gluten
163,Cake aux fruits confits
164,Cakes
165,Printemps
166,Poulet rôti
167,Recette minceur
168,Cake salé
169,Entrée froide
170,Cuisine espagnole
171,Camembert
172,Rougail
173,Tagliatelle
174,Recettes du chasseur
175,Cannelés
176,Recettes au robot
177,Carbonade
178,Spécial Belgique
179,Rognons
180,Recettes du Nord
181,Curry de légumes
182,Carpaccio
183,Saumon en sauce
184,Gâteau aux carottes
185,Carrot cake
186,Cassoulet
187,Ceviche
188,Poisson cru
189,Crustacés
190,Sud-Ouest
191,Pizza
192,Bouchée ou amuse-bouche
